Koper/Capodistria;6518;4103;515;82
Kostanjevica na Krki;295;211;40;8
Kostel;72;37;6;2
Kozje;373;235;56;5
Kranj;5972;4572;927;179
Kranjska Gora;642;380;55;9
Kri_evci;403;297;44;11
Kr_ko;2777;2035;457;104
Kungota;649;346;64;12
Kuzma;204;121;14;7
La_ko;1579;988;205;44
Lenart;919;629;99;24
Lendava/Lendva;1466;690;84;22
Litija;1624;1290;233;58
Ljubljana;31735;20433;3374;569
Ljubno;293;221;47;11
Ljutomer;1438;899;167;34
Log - Dragomer;406;300;69;13
Logatec;1252;1077;350;106
Lo_ka dolina;368;293;80;17
Lo_ki Potok;182;149;58;16
Lovrenc na Pohorju;399;220;29;8
Luèe;185;110;33;10
Lukovica;497;476;151;38
Maj_perk;499;296;59;13
Makole;247;142;39;6
Maribor;14051;6511;815;217
Markovci;463;362;57;8
Medvode;1653;1340;270;68
Menge_;796;643;148;20
Metlika;857;695;149;33
Me_ica;461;228;29;2
Miklav_ na Dravskem polju;844;461;52;10
Miren - Kostanjevica;635;404;57;4
Mirna Peè;230;252;88;11
Mislinja;537;376;74;15
Mokronog - Trebelno;285;248;69;18
Moravèe;429;460;152;48
Moravske Toplice;757;476;73;14
Mozirje;421;315;77;28
Murska Sobota;2678;1395;165;38
Muta;398;280;50;7
Naklo;544;460;111;34
Nazarje;299;212;50;5
Nova Gorica;3811;2532;368;53
Novo mesto;3795;3084;637;137
Odranci;183;160;33;7
Oplotnica;464;329;73;14
Ormo_;1564;941;158;41
Osilnica;44;18;4;1
Pesnica;925;556;97;25
Piran/Pirano;2236;1178;136;29
Pivka;660;513;109;18
Podèetrtek;355;266;62;12
Podlehnik;234;142;32;5
Podvelka;297;162;33;5
Poljèane;531;334;52;10
Polzela;694;491;78;18
Postojna;1747;1274;234;41
Prebold;593;388;54;6
Preddvor;349;269;79;30
Prevalje;734;453;83;15
Ptuj;3077;1704;239;30
Puconci;836;456;64;16
Raèe - Fram;864;495;67;12
Radeèe;554;304;61;8
Radenci;653;391;50;13
Radlje ob Dravi;731;476;72;13
Radovljica;2169;1561;283;59
Ravne na Koro_kem;1390;810;112;16
Razkri_je;156;117;21;6
Reèica ob Savinji;236;200;41;10
Renèe - Vogrsko;531;357;44;5
Ribnica;836;831;250;46
Ribnica na  Pohorju;134;72;17;5
Roga_ka Slatina;1217;922;155;36
Roga_ovci;451;256;34;8
Rogatec;368;229;44;9
Ru_e;981;514;48;13
Selnica ob Dravi;605;338;43;11
Semiè;425;306;56;19
Sevnica;1914;1314;302;72
Se_ana;1466;1018;126;11
Slovenj Gradec;1934;1333;222;38
Slovenska Bistrica;2992;2058;375;52
Slovenske Konjice;1646;1200;233;57
Sodra_ica;198;181;59;8
Solèava;58;37;8;4
Sredi_èe ob Dravi;251;160;33;1
Star_e;538;333;46;8
Stra_a;398;357;64;14
Sveta Ana;256;203;43;5
Sveta Trojica v Slov. goricah;207;203;42;7
Sveti Andra_ v Slov. goricah;133;113;25;6
Sveti Jurij;329;229;52;17
Sveti Jurij v Slov. goricah;231;179;47;7
Sveti Toma_;230;180;36;13
_alovci;237;116;9;3
_empeter - Vrtojba;823;491;59;12
_enèur;807;821;197;36
_entilj;1127;644;79;19
_entjernej;677;589;184;35
_entjur;2175;1610;309;47
_entrupert;228;192;61;18
_kocjan;302;271;90;26
_kofja Loka;2168;1907;554;168
_kofljica;917;824;170;41
_marje pri Jel_ah;1067;863;176;41
_marje_ke Toplice;328;248;86;12
_martno ob Paki;367;258;59;8
_martno pri Litiji;528;389;158;47
_o_tanj;955;695;131;31
_tore;494;296;58;8
Tabor;184;128;33;5
Ti_ina;547;349;48;11
Tolmin;1226;895;206;40
Trbovlje;2147;1140;118;23
Trebnje;1442;1143;351;77
Trnovska vas;137;119;28;9
Trzin;422;355;60;12
Tr_iè;1732;1266;232;42
Turni_èe;407;296;64;10
Velenje;3981;2607;345;57
Velika Polana;172;123;23;2
Velike La_èe;437;349;96;23
Ver_ej;162;99;17;2
Videm;673;463;75;21
Vipava;490;429;162;43
Vitanje;240;185;55;14
Vodice;432;436;115;28
Vojnik;943;650;159;41
Vransko;260;228;55;13
Vrhnika;1756;1413;309;69
Vuzenica;329;185;46;7
Zagorje ob Savi;1971;1359;266;50
Zavrè;172;120;20;7
Zreèe;710;548;111;18
_alec;2572;1709;279;48
_elezniki;580;559;235;84
_etale;147;107;23;10
_iri;431;444;135;42
_irovnica;480;399;59;16
_u_emberk;398;392;137;30
